date,code,open,high,low,close,peTTM,pbMRQ,psTTM
2020-06-24,sh.600000,10.5400,10.6100,10.5000,10.6000,5.201746,0.606790,1.587182
2020-06-24,sh.600004,15.3200,15.5100,15.1000,15.3300,45.750420,1.915157,4.421062
2020-06-24,sh.600006,4.0700,4.0800,4.0300,4.0400,27.047537,1.094884,0.647995
2020-06-24,sh.600007,13.5600,13.8100,13.4400,13.5400,14.644503,1.754311,4.006116
2020-06-24,sh.600008,3.0300,3.0400,3.0000,3.0100,17.818370,1.497242,1.112276
2020-06-24,sh.600009,71.0000,71.3900,70.6800,70.8600,36.709481,4.255704,13.923770
2020-06-24,sh.600010,1.0900,1.1000,1.0800,1.0800,-343.668226,0.940152,0.779393
2020-06-24,sh.600011,4.2400,4.2500,4.2000,4.2100,60.581324,0.890833,0.392955
2020-06-24,sh.600012,5.2100,5.2300,5.1900,5.2200,11.066296,0.808265,3.506794
2020-06-24,sh.600015,6.1100,6.1700,6.0900,6.1300,4.260137,0.443094,1.061976
2020-06-24,sh.600016,5.6600,5.6900,5.6600,5.6700,4.540233,0.530985,1.335268
2020-06-24,sh.600017,2.5200,2.5200,2.5000,2.5000,13.348727,0.641068,1.432809
2020-06-24,sh.600018,4.1700,4.2400,4.1600,4.2200,11.104564,1.165326,2.933077
2020-06-24,sh.600019,4.6200,4.6400,4.5900,4.6000,9.119573,0.570962,0.357352
2020-06-24,sh.600020,3.5800,3.5900,3.5600,3.5800,14.260343,0.812846,1.506757
2020-06-24,sh.600021,7.3500,7.5600,7.3300,7.4000,23.345183,1.212172,0.828394
2020-06-24,sh.600022,1.3400,1.3400,1.3100,1.3100,31.357638,0.697054,0.187110
2020-06-24,sh.600023,3.5400,3.5500,3.5200,3.5300,12.682626,0.750858,0.962622
2020-06-24,sh.600025,3.5300,3.6500,3.5300,3.6500,14.019345,1.401052,3.375133
2020-06-24,sh.600026,6.5400,6.6300,6.5000,6.5400,49.253657,0.919792,2.208995
2020-06-24,sh.600027,3.4600,3.4700,3.4100,3.4200,8.815914,0.726658,0.365690
2020-06-24,sh.600028,3.9600,3.9800,3.9600,3.9700,20.856231,0.674742,0.171410
2020-06-24,sh.600029,5.1600,5.1900,5.1500,5.1800,-15.096157,1.358967,0.576114
2020-06-24,sh.600030,24.2600,24.8400,24.1000,24.2500,26.021938,1.767510,6.894147
2020-06-24,sh.600031,18.5000,18.7200,18.4500,18.5300,15.355769,3.365406,2.181962
2020-06-24,sh.600033,2.6600,2.6600,2.6500,2.6600,12.295507,0.772060,2.973271
2020-06-24,sh.600035,3.0100,3.0100,2.9800,3.0000,9.850616,0.767809,2.089218
2020-06-24,sh.600036,33.5200,33.9600,33.5100,33.9000,8.959703,1.406251,3.080167
2020-06-24,sh.600037,15.0000,15.4500,14.6200,14.7300,58.217053,1.522801,7.655494
2020-06-24,sh.600038,41.1200,41.1200,40.5900,40.6800,42.719602,2.910984,1.561215
2020-06-24,sh.600039,3.8800,3.9000,3.8700,3.8900,8.820014,0.907032,0.278672
2020-06-24,sh.600048,14.3700,14.7500,14.3300,14.7400,6.277602,1.217259,0.741418
2020-06-24,sh.600050,4.9200,4.9200,4.8300,4.8700,31.790335,1.046493,0.518882
2020-06-24,sh.600051,8.1300,8.1900,8.0700,8.1700,4.359169,0.860575,0.564443
2020-06-24,sh.600052,3.5100,3.5900,3.4500,3.4800,2.571645,0.861411,35.165659
2020-06-24,sh.600053,26.7600,29.3600,26.4100,29.3600,21.155114,4.778366,6.447126
2020-06-24,sh.600054,8.1700,8.1900,8.1400,8.1700,24.894057,1.387555,4.219329
2020-06-24,sh.600055,16.0600,16.1500,15.5900,15.6700,39.624831,3.960634,7.915602
2020-06-24,sh.600056,14.1900,14.5300,14.0600,14.3600,18.351745,1.657152,0.444414
2020-06-24,sh.600057,5.6800,5.6800,5.5500,5.5600,10.830555,1.109094,0.042220
2020-06-24,sh.600058,6.0900,6.1300,6.0100,6.0400,64.074297,1.584442,0.108822
2020-06-24,sh.600059,9.5000,9.6600,9.3800,9.5300,41.506364,1.820197,5.153886
