date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM
2007-01-04,sh.600000,21.6500,23.4400,19.9600,21.4600,21.3100,50889423,1140841332.0000,3,3.819772,1,0.703893,29.801700
2007-01-05,sh.600000,21.4600,21.4600,19.5200,20.8300,21.4600,35705586,731193744.0000,3,2.680070,1,-2.935691,27.078271
2007-01-08,sh.600000,20.8000,21.6800,20.6100,21.2500,20.8300,25488876,536486642.0000,3,1.913201,1,2.016323,27.624256
2007-01-09,sh.600000,21.0300,22.9000,21.0000,22.7900,21.2500,32961946,727041435.0000,3,2.474131,1,7.247063,29.626202
2007-01-10,sh.600000,22.8300,24.2800,22.8300,23.6300,22.7900,35276836,835770406.0000,3,2.647888,1,3.685819,30.718173
2007-01-11,sh.600000,23.5000,24.3300,22.5200,23.2200,23.6300,22885931,539765626.0000,3,1.717823,1,-1.735082,30.185187
2007-01-12,sh.600000,22.9000,23.3700,22.2000,22.6000,23.2200,23214839,530396018.0000,3,1.742511,1,-2.670107,29.379209
2007-01-15,sh.600000,22.9200,24.0000,22.7100,23.9500,22.6000,22822883,531447017.0000,3,1.713091,1,5.973453,31.134161
2007-01-16,sh.600000,24.0100,24.4500,23.2000,23.7800,23.9500,20194184,482029079.0000,3,1.515780,1,-0.709812,30.913167
2007-01-17,sh.600000,23.8500,24.0100,22.5400,22.9400,23.7800,29217135,675729809.0000,3,2.193045,1,-3.532381,29.821197
2007-01-18,sh.600000,22.7000,23.0100,20.6500,21.3900,22.9400,35345006,757789604.0000,3,2.653004,1,-6.756762,27.806251
2007-01-19,sh.600000,21.5000,22.3000,21.5000,21.8200,21.3900,29665178,648033867.0000,3,2.226675,1,2.010287,28.365236
2007-01-22,sh.600000,22.5000,23.1000,21.9500,22.5900,21.8200,42172602,951104479.0000,3,3.165485,1,3.528875,29.366209
2007-01-23,sh.600000,22.8800,24.8500,22.3200,24.8500,22.5900,49135174,1153187734.0000,3,3.688098,1,10.004430,32.304130
2007-01-24,sh.600000,24.9100,25.9900,24.1100,24.7000,24.8500,35293836,888134792.0000,3,2.649164,1,-0.603620,32.109135
2007-01-25,sh.600000,24.3000,25.5000,23.8100,24.3700,24.7000,28607594,712294861.0000,3,2.147293,1,-1.336032,31.680147
2007-01-26,sh.600000,24.0500,26.8100,23.8000,26.5800,24.3700,37171143,923308222.0000,3,2.790075,1,9.068522,34.553069
2007-01-29,sh.600000,26.4000,27.8000,25.9700,27.1900,26.5800,37450598,1004420838.0000,3,2.811051,1,2.294961,35.346048
2007-01-30,sh.600000,27.0000,28.3300,25.8000,26.3300,27.1900,38850850,1058672423.0000,3,2.916154,1,-3.162930,34.228078
2007-01-31,sh.600000,26.2800,26.2800,23.7000,24.9900,26.3300,28116984,706809066.0000,3,2.110467,1,-5.089252,32.486125
2007-02-01,sh.600000,24.4000,25.1600,24.2000,24.5900,24.9900,17513926,433256874.0000,3,1.314599,1,-1.600639,31.966139
2007-02-02,sh.600000,24.6500,24.9700,22.3300,23.0000,24.5900,19908988,469396335.0000,3,1.494373,1,-6.466044,29.899195
2007-02-05,sh.600000,22.6500,23.1000,21.5200,21.7000,23.0000,27238656,602569888.0000,3,2.044540,1,-5.652171,28.209240
2007-02-06,sh.600000,21.6800,23.4400,20.5900,23.1700,21.7000,51905083,1106462258.0000,3,3.896008,1,6.774190,30.120189
2007-02-07,sh.600000,22.8800,24.5000,22.8200,24.0000,23.1700,40171146,955208156.0000,3,3.015256,1,3.582218,31.199160
2007-02-08,sh.600000,23.9500,24.1400,23.0100,23.5200,24.0000,16733808,394562661.0000,3,1.256044,1,-1.999998,30.575176
